time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-11-06T18:30:00Z,7.34,7.34,7.32,7.32,NaN,NaN,NaN,7.34,7.34,7.32,7.32,7.3768722792642105,1510,1463.3,48616.8,57615,39025,NaN,0
2020-11-06T18:45:00Z,7.32,7.33,7.31,7.31,0.05781993902264359,NaN,NaN,7.32,7.33,7.31,7.31,7.366584236300485,700,1387.2,50565.8,57615,39725,NaN,0
2020-11-06T19:30:00Z,7.27,7.27,7.27,7.27,NaN,NaN,NaN,7.27,7.27,7.27,7.27,7.3517251230234875,2520,1402.5,52896.3,57615,42245,NaN,0
2020-11-06T19:45:00Z,7.27,7.28,7.24,7.26,0.06003449556398101,NaN,NaN,7.27,7.28,7.24,7.26,7.337613565635259,1715,1389.2,54557.8,57615,43960,NaN,0
2020-11-06T20:00:00Z,7.27,7.28,7.26,7.26,NaN,NaN,NaN,7.27,7.28,7.26,7.26,7.325673017075988,1255,1368.1,55620.3,57615,45215,NaN,0
2020-11-06T20:15:00Z,7.27,7.27,7.26,7.26,NaN,NaN,NaN,7.27,7.27,7.26,7.26,7.315569475987374,550,1366.8,56315.8,57615,45765,NaN,0
2020-11-06T20:30:00Z,7.25,7.26,7.25,7.25,NaN,NaN,NaN,7.25,7.26,7.25,7.25,7.3054818642970085,165,1340.6,57487.3,57615,45930,NaN,0
2020-11-06T20:45:00Z,7.26,7.26,7.25,7.25,0.054573678188711776,NaN,NaN,7.26,7.26,7.25,7.25,7.2969461928667,475,1332.6,58393.3,57615,46405,NaN,0
2020-11-09T12:00:00Z,7.16,7.2,7.15,7.18,NaN,7.4571321474911825,7.434841941864121,7.16,7.2,7.15,7.18,7.278954470887207,3665,1388.1,1269.5,46405,3665,NaN,2
2020-11-09T12:15:00Z,7.18,7.18,7.15,7.17,NaN,NaN,NaN,7.18,7.18,7.15,7.17,7.262192244596868,2555,1427.5,2837,46405,6220,2837,2
2020-11-09T12:30:00Z,7.17,7.18,7.08,7.09,NaN,NaN,NaN,7.17,7.18,7.08,7.09,7.235701130043504,3600,1491.1,4175,46405,9820,4175,2
2020-11-09T12:45:00Z,7.1,7.11,7.09,7.11,0.07556028215440053,NaN,NaN,7.1,7.11,7.09,7.11,7.216362494652196,710,1494.3,6706,46405,10530,6706,1
2020-11-09T13:00:00Z,7.11,7.13,7.11,7.12,NaN,NaN,NaN,7.11,7.13,7.11,7.12,7.201537495474935,390,1481.2,8162,46405,10920,8162,1
2020-11-09T13:15:00Z,7.12,7.13,7.09,7.1,NaN,NaN,NaN,7.12,7.13,7.09,7.1,7.185916342324945,3925,1530.9,9845.5,46405,14845,9845.5,1
2020-11-09T13:30:00Z,7.09,7.09,7.08,7.09,NaN,NaN,NaN,7.09,7.09,7.08,7.09,7.171159981967262,585,1526.1,11416,46405,15430,11416,1
2020-11-09T13:45:00Z,7.09,7.1,7.09,7.09,0.07091295812632767,NaN,NaN,7.09,7.1,7.09,7.09,7.158673830895375,515,1484.6,13434.5,46405,15945,13434.5,1
2020-11-09T14:00:00Z,7.09,7.11,7.09,7.11,NaN,NaN,NaN,7.09,7.11,7.09,7.11,7.151185549219163,785,1450.9,14509.3,46405,16730,14509.3,1
2020-11-09T14:15:00Z,7.11,7.11,7.11,7.11,NaN,NaN,NaN,7.11,7.11,7.11,7.11,7.1448493108777535,405,1403.7,17143.3,46405,17135,NaN,0
2020-11-09T14:30:00Z,7.11,7.13,7.11,7.13,NaN,NaN,NaN,7.11,7.13,7.11,7.13,7.142564801511945,2445,1376.9,19726.3,46405,19580,NaN,0
2020-11-09T14:45:00Z,7.13,7.17,7.13,7.13,0.07256514755790447,NaN,NaN,7.13,7.17,7.13,7.13,7.140631755125492,2870,1414.5,22181.3,46405,22450,22181.3,1
2020-11-09T15:00:00Z,7.13,7.14,7.12,7.14,NaN,NaN,NaN,7.13,7.14,7.12,7.14,7.140534562029262,2005,1443.5,24211.8,46405,24455,24211.8,1
2020-11-09T15:15:00Z,7.13,7.14,7.12,7.13,NaN,NaN,NaN,7.13,7.14,7.12,7.13,7.138913860178606,2005,1476.1,26304.3,46405,26460,26304.3,1
2020-11-09T15:30:00Z,7.13,7.15,7.12,7.14,NaN,NaN,NaN,7.13,7.15,7.12,7.14,7.1390809586126664,1255,1490.9,28918.8,46405,27715,NaN,0
2020-11-09T15:45:00Z,7.14,7.17,7.13,7.15,0.06846239345646726,NaN,NaN,7.14,7.17,7.13,7.15,7.140760811133795,2295,1528.3,29900.8,46405,30010,29900.8,1
2020-11-09T16:00:00Z,7.15,7.16,7.15,7.15,NaN,NaN,NaN,7.15,7.16,7.15,7.15,7.142182224805519,305,1498.6,30908.3,46405,30315,NaN,0
2020-11-09T16:15:00Z,7.14,7.14,7.13,7.14,NaN,NaN,NaN,7.14,7.14,7.13,7.14,7.141846497912362,195,1471.5,31895.8,46405,30510,NaN,0
2020-11-09T16:30:00Z,7.13,7.15,7.13,7.15,NaN,NaN,NaN,7.13,7.15,7.13,7.15,7.1431008828489215,115,1444.4,33894.8,46405,30625,NaN,0
2020-11-09T16:45:00Z,7.16,7.17,7.15,7.16,0.06328741282801868,NaN,NaN,7.16,7.17,7.15,7.16,7.1457007470260105,230,1436.4,34808.3,46405,30855,NaN,0
2020-11-09T17:00:00Z,7.15,7.15,7.15,7.15,NaN,NaN,NaN,7.15,7.15,7.15,7.15,7.1463621705604705,235,1397.7,35808.8,46405,31090,NaN,0
2020-11-09T17:15:00Z,7.16,7.16,7.16,7.16,NaN,NaN,NaN,7.16,7.16,7.16,7.16,7.148460298166552,170,1392.4,37573.8,46405,31260,NaN,0
